,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
2526,Sametuysal_7,"Fatih, İstanbul",105,36,168,2021-01-05 15:30:58,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2527,samettuncer17,"Biga, Türkiye",2299,711,1798,2021-01-05 12:16:40,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2528,Tlin77183155,"Merkez, Uşak",96,10,333,2021-01-05 09:10:30,1,sonuna doğru boğazım düğümlendi hep kalbimizde olacaksın nur içinde yat güzel insan 
2529,yaevdeyoksan_,Mesir Macunu,4936,4877,14121,2021-01-05 07:24:53,1,sonuna doğru boğazım düğümlendi hep kalbimizde olacaksın nur içinde yat güzel insan 
2530,trk_hmz,"Samsun, Türkiye",59,69,9,2021-01-04 19:55:51,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2531,makepossiblee,,72,14,1079,2021-01-04 19:52:09,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2536,turuncnad1r,,182,36,457,2021-01-04 16:50:38,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2542,enesos44,Malatya,4979,2878,258630,2021-01-04 08:27:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2551,birisik_merve,,86,40,77,2021-01-03 20:18:39,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2553,cansu45kivircik,"Manisa, Türkiye",110,284,918,2021-01-03 19:47:11,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2555,KaniSeven,,18,1,6,2021-01-03 19:28:57,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
