username,location,following,followers,totaltweets,whentweetcreated,retweets,text
Asyaakcaay,Turkey\Samsun,602,651,28545,2021-01-01 21:25:30,0,"Ziraat bankası reklamına ağlarım 
#SenHepGülümse 
@ziraatbankasi"
ErdalAyyildiz,,73,21,12,2021-01-01 21:24:16,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
AylaKamc,,72,64,28,2021-01-01 21:23:40,0,Reklamın krali #SenHepGülümse #ziraatbankasi #kemalsunal https://t.co/ezHjhZ14Eo
erdoganatici,"İzmir, Türkiye",620,66,2739,2021-01-01 21:22:29,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
ReyhanAky,Tarabya İstanbul,159,14,9,2021-01-01 21:21:02,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Fatih_ERGUL,Türkiye,481,27,197,2021-01-01 21:17:34,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
gizmosko,,149,156,2280,2021-01-01 21:12:44,0,"""Selfie ne yahu! Allah Allah!"" Geleneğin yeni nesillere aktarılması ve yeni nesile de ayak uyduran bir Kemal Sunal. Gülmek bulaşıcı bir eylemdir. Gülme hiç bu kadar saf olmamıştı #SenHepGülümse https://t.co/c2F8Gvg5xf"
mucizedoktorff,türkiye izmir,261,55,11574,2021-01-01 21:05:31,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
mehmetcannkoklu,,312,174,1672,2021-01-01 21:02:20,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
bjkuubra,🌎,150,514,2525,2021-01-01 21:00:58,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Merih77,"İstanbul, Türkiye",156,28,432,2021-01-01 20:59:34,0,Şaban a aa Kemal Sunal diyor çocuklar oda evet benim diyor. Ayıptır. Bu kadar saçmalanmaz.#SenHepGueluemse
emretasdmr53,53🇹🇷,504,568,4062,2021-01-01 20:57:08,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
UgurDeepss,"İstanbul, Türkiye",197,175,2160,2021-01-01 20:55:21,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Bsraashin,Bursa,751,1208,2636,2021-01-01 20:54:28,1,"Ziraat Bankası’nın 157. kuruluş yıl dönümü özel reklamında Deep Fake teknolojisi ile canladırılan Kemal Sunal’ı görmek sizleri de duygulandırmadı mı ?

#KemalSunal
#SenHepGülümse https://t.co/ZCT6ZOsVxD"
elcjn,32:52 E 39:56 N,160,168,401,2021-01-01 20:54:27,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
seyda_sahin_,,400,448,2121,2021-01-01 20:53:38,1,"Ziraat Bankası’nın 157. kuruluş yıl dönümü özel reklamında Deep Fake teknolojisi ile canladırılan Kemal Sunal’ı görmek sizleri de duygulandırmadı mı ?

#KemalSunal
#SenHepGülümse https://t.co/ZCT6ZOsVxD"
__yagmurcelik__,"İstanbul, Türkiye",963,1020,3154,2021-01-01 20:52:53,0,Aşırı duygulandım şuan :(  #SenHepGülümse
_BurakYanar_,Samsun,412,152,2464,2021-01-01 20:51:52,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
batuhaanaydin,Istanbul,115,715,21364,2021-01-01 20:51:28,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
hasaniscan88,,217,162,593,2021-01-01 20:50:29,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
engineer_burak,istanbul,130,76,7257,2021-01-01 20:49:24,32,Çok özledik be Kemal abi #SenHepGülümse https://t.co/9RVDmj5JX8
Kushne1903,Türkiye,367,45,2475,2021-01-01 20:49:07,0,#SenHepGülümse özledim bee :(
