username,location,following,followers,totaltweets,whentweetcreated,retweets,text
sanlifatih,,3,65,20,2021-01-01 20:09:30,0,#senhepgülümse izlediğim en güzel reklamlardan bir tanesi
zelalgktas_,,135,152,138,2021-01-01 20:06:55,0,Öyle gerçek ki.. sen güldün hepimiz güldük.#SenHepGülümse Kemal Abi💐 https://t.co/HnukeIj7WZ
KaraagacCeyda,Fenerbahçe,314,5937,59036,2021-01-01 20:06:50,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
suleymanturell,"Nice, France",137,141,2159,2021-01-01 20:04:25,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Faykut3,,253,17,540,2021-01-01 19:59:23,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
anthony_burgees,,87,20,481,2021-01-01 19:58:50,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
iremkevser44,,155,369,2102,2021-01-01 19:58:47,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
cGhSn1905,,276,456,16500,2021-01-01 19:54:46,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
johnwickadamim,türkiye,201,46,521,2021-01-01 19:51:58,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
ha7_61,,67,66,9333,2021-01-01 19:50:56,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
KubilayKrgcl,,590,186,16645,2021-01-01 19:50:26,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
aurovertino,,2895,262,1465,2021-01-01 19:46:55,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
krdg52,Türkiye/Ordu,428,508,14575,2021-01-01 19:46:43,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
